Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,
2022-09-14,153.2707061767578,104.5003890991211,246.95509338378906,155.0372110898694,104.77905558849064,248.92313072711704,151.59303096684667,103.16676873054044,244.64435605806372,152.75752979849568,104.07243482099148,248.23774570259533,87965400,26395100,23913000
2022-09-15,150.3693084716797,102.42034149169922,240.25787353515625,153.2016343191028,104.76910525057787,246.15219960227225,149.39231725485783,101.86300089749223,238.92626196066945,152.6193698403597,103.53500749392786,244.55623484084325,90481100,34188300,31530900
2022-09-16,148.72125244140625,102.31085205078125,239.63125610351562,149.36272674550892,102.63927604826566,240.17956416663884,146.4218443622924,100.45970184055966,237.00719116393054,149.22456559759132,101.58432225281808,239.1612649577464,162278800,42797200,39791800
2022-09-19,152.4516143798828,102.57957458496094,239.41583251953125,152.530565756339,102.83833958549137,240.02288570350754,147.142266074514,101.06681035212908,235.8224428106707,147.34950026158054,101.26585567986477,237.4086217444272,81474200,23036800,26826900
2022-09-20,154.83984375,100.65875244140625,237.3890380859375,156.0043577800845,101.882903164709,238.4269090035508,151.07000947628035,100.04169980785068,234.63769708426776,151.38579993733708,101.59428213900198,237.01698045564265,107689800,26517100,26660300
2022-09-21,151.7015838623047,98.80760192871094,233.9620819091797,156.65567307047792,102.39047078999764,242.49027328915574,151.58316433856976,98.79764738492318,233.9131226363591,155.2740467070239,101.18622915681169,239.17103777962444,101696800,31487300,28625600
2022-09-22,150.73448181152344,99.66351318359375,235.94972229003906,152.44176215818038,100.75827764430566,238.76960926962832,148.9285084725313,98.31993827303401,232.61091479132295,150.37920812092767,98.34979431212098,232.9046405681356,86652500,34298600,31061200
2022-09-23,148.45477294921875,98.27017974853516,232.95359802246094,149.4811256708757,99.18580803624575,236.09659827223658,146.60933178685332,97.00622591934467,230.29037477151613,149.20480341314504,99.15594440205993,234.53977696593785,96029900,31625400,34176000
2022-09-26,148.79031372070312,97.702880859375,232.49337768554688,151.75092212100176,99.40474334217092,236.40988020268483,147.67514640455875,97.33464627113645,231.95485560138613,147.6948880102553,97.63321424053862,232.10173340994166,93339400,27072700,27694200
2022-09-27,149.767333984375,97.03607940673828,231.4751434326172,152.68847479986027,99.52418400691106,236.75263111289237,147.98110231146464,96.40907978100809,229.60500949244985,150.734477091982,98.95689646179537,234.9706149126639,84442700,30072800,27018700
2022-09-28,147.87254333496094,99.5739517211914,236.03785705566406,148.66204205913598,100.22085285955642,237.27155015003342,142.9381951319115,96.64793820563632,229.83018830583202,145.70143313730634,97.18536972439702,231.86677170466896,146691400,32466300,29029700
2022-09-29,140.60916137695312,96.95645141601562,232.54237365722656,144.7934934551737,98.17064759037245,234.94122883953057,138.83279327495222,95.50339934291237,229.5168785708888,144.18163918720862,98.17064759037245,233.90335789912527,128138200,31047200,27484200
2022-09-30,136.38539123535156,95.19487762451172,228.03834533691406,141.22106186093816,98.4294134043774,235.51886429289485,136.18802030456854,95.10530191604596,227.8718957784232,139.42495175640798,96.58821763291844,233.3158317018502,124925300,32941500,35694800
2022-10-03,140.57957458496094,98.170654296875,235.71475219726562,141.1914439900878,98.8175630102199,236.56658686861817,135.88208060719077,96.06073886671564,229.76166549682242,136.39525702678367,96.29960237487207,230.49600985220198,114311700,27982000,28880400
2022-10-04,144.18162536621094,101.1563720703125,243.68479919433594,144.30004487551503,101.35541738545221,245.13390098876755,142.36577422576687,99.90236532427448,239.86620015378074,143.1256678801428,99.96208499329005,239.9739045740591,87830100,28850800,34888400
2022-10-05,144.4777069091797,100.94738006591797,243.9981231689453,145.44484998263232,101.4450009855778,245.34932142534083,141.13221948664446,98.3298967620206,239.00459102796964,142.17831393701783,99.35499464162503,240.85513801638095,79471000,22176900,20347100
2022-10-06,143.52044677734375,100.93741607666016,241.638427734375,145.60274235287363,102.44023323947894,245.11432699777998,143.31321258240413,100.11136360497702,240.94325684585763,143.895462065149,100.2009393105423,242.7546304477217,68402200,22324000,20239900
2022-10-07,138.2505340576172,98.21046447753906,229.35044860839844,141.22102066261786,100.0516603517211,236.28266154393845,137.61893822830447,97.83227531415282,228.30277675871943,140.6683611358409,99.37489560091394,235.8714155320985,85925600,27502800,37769600
2022-10-10,138.57623291015625,97.39436340332031,224.46456909179688,140.0269324842531,98.62846111239529,229.66372422317414,136.75053311295184,96.54840938978579,221.99716811850382,138.57623291015625,98.52893845076046,228.18524977908294,74899000,18225100,29743600
2022-10-11,137.15513610839844,96.71759796142578,220.7047576904297,139.49402735669463,98.77774817376962,224.2785610061986,136.40512061529776,95.85173486608706,219.4318911189659,138.063054355342,96.96640841022621,222.868617415671,77033700,26507100,30474000
2022-10-12,136.52352905273438,97.09578704833984,221.03762817382812,138.51700974724292,98.28012721366622,223.10358401151333,136.3458997629281,96.27968908051714,219.28499973345657,137.30316442493086,96.83702964877843,220.69492820055035,70433700,21876400,21903900
2022-10-13,141.1124725341797,98.5886459350586,229.35044860839844,141.70458518782445,99.30522121438588,231.17162331977144,132.60564736672077,93.93091421252319,214.55585615114015,133.2175166847836,94.69725461689511,215.26082797104422,113224000,34574500,42551800
2022-10-14,136.5630340576172,96.10054016113281,223.7889862060547,142.62241342006476,100.21089341446172,232.2878057575382,136.37552640505737,95.91144939348797,223.57357733892508,142.4151641571206,99.51421963932691,230.62327997694132,88598000,25410700,30198600
2022-10-17,140.5401153564453,99.49433135986328,232.57174682617188,141.0236718643574,100.44976264774354,233.97190446953263,138.42821483436188,98.35975623093717,230.2316367945102,139.2177135934962,98.38961227226265,230.89745009814104,85250900,28419200,28142300
2022-10-18,141.86248779296875,100.29051208496094,233.52149963378906,144.7737497481639,102.977669480451,238.83814547298792,138.7637182271675,99.49432320685048,230.45683114701563,143.57964610972482,102.63928332260754,238.16256123142458,99136600,24060700,26329600
2022-10-19,141.9710693359375,99.15593719482422,231.5436553955078,143.04675364711534,100.53932268092686,234.60832380326266,139.64205634508835,98.44931643231148,229.3993675920163,139.8295639891064,99.53413393609323,232.0919634303183,61758300,23811100,19985700
2022-10-20,141.50721740722656,99.49433135986328,231.2205352783203,143.97439116428012,101.83314824517264,236.27282763329708,140.77692855410262,98.91708925059409,229.9672555385192,141.14208050988137,99.52418740118877,230.848477660121,64522000,25323200,21811000
2022-10-21,145.33627319335938,100.6488037109375,237.06591796875,145.90865930136042,100.82794754437543,237.92755339567935,140.77692593540152,97.25503301309253,229.60498465550126,140.99403842665825,97.38441171770614,229.83998021019283,86548600,32458700,26299700
2022-10-24,147.48764038085938,102.03219604492188,242.08883666992188,148.25739736853123,102.26110502242939,242.66651726478315,144.08294369562876,99.50428830585139,236.26304156622302,145.25732078304517,101.31562825653955,238.67168249474804,75981900,27176400,24911200
2022-10-25,150.33970642089844,103.98286437988281,245.42764282226562,150.4877458912043,104.3212429399577,245.79970041565298,147.39883932372416,102.23123672329918,240.69846406656384,148.11924989222194,102.41038054718946,242.0986065964554,74732300,40611400,34775500
2022-10-26,147.38897705078125,94.47830963134766,226.49136352539062,149.9943121264643,97.8422243688905,233.32565671091658,146.09616525843597,94.23945371213154,225.25765558472068,148.9778376688811,95.97117241436078,226.3444857065967,88194300,88114100,82543200
2022-10-27,142.8987579345703,91.78120422363281,222.01675415039062,147.09295481593946,94.97592963709896,228.8118889501119,142.23755693910832,91.36320447078887,221.06700101900176,146.12582657495136,94.07025591284439,226.21719686136822,109180200,60710900,40424600
2022-10-28,153.695068359375,95.83183288574219,230.94639587402344,155.4319533375391,96.09059787724979,231.66116845947738,145.87906336998515,91.6916233939895,221.33138836153447,146.25406355734995,91.8309566371646,221.51742465253554,164762400,43697300,40647700
2022-10-31,151.32659912109375,94.060302734375,227.2844696044922,152.21479090339474,95.57306689870097,230.01622392707068,149.92524592690708,93.53282580597906,226.32491559359812,151.1489697996957,94.9659688055794,228.88043444903704,97943200,31675000,28357300
2022-11-01,148.67190551757812,90.03952026367188,223.40713500976562,153.4088828100258,95.57306183643806,230.819124587179,147.17187450407766,89.9399976095824,222.58467291232594,153.04374586124993,94.9958198123906,229.70292175771823,80379300,47161400,30592300
2022-11-02,143.12570190429688,86.55618286132812,215.50558471679688,150.17195049314788,90.74615003951523,226.47179018805932,143.09609701993313,86.46660714853941,215.44682462164948,146.9942290649959,90.50729412723294,224.67020238397998,93604600,57038300,38407000
